book_id,book_name,name,code,parent_code,type,url
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.6.,10001_100092,10001_100086,lesson,../protec_book_10001/content/10001_100092.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.7.,10001_100093,10001_100086,lesson,../protec_book_10001/content/10001_100093.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.8.,10001_100094,10001_100086,lesson,../protec_book_10001/content/10001_100094.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.9.,10001_100095,10001_100086,lesson,../protec_book_10001/content/10001_100095.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.10.,10001_100096,10001_100086,lesson,../protec_book_10001/content/10001_100096.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.11.,10001_100097,10001_100086,lesson,../protec_book_10001/content/10001_100097.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.12.,10001_100098,10001_100086,lesson,../protec_book_10001/content/10001_100098.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,4. Додаткові вимоги безпечного проведення робіт на висоті,10001_100099,10001_100071,folder,
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,4.1.,10001_100100,10001_100099,lesson,../protec_book_10001/content/10001_100100.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,4.2.,10001_100101,10001_100099,lesson,../protec_book_10001/content/10001_100101.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,4.3.,10001_100102,10001_100099,lesson,../protec_book_10001/content/10001_100102.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,4.4.,10001_100103,10001_100099,lesson,../protec_book_10001/content/10001_100103.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,4.5.,10001_100104,10001_100099,lesson,../protec_book_10001/content/10001_100104.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,4.6.,10001_100105,10001_100099,lesson,../protec_book_10001/content/10001_100105.html
